epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,635.173,0.9946,1.20191,1.03399,0.98527,1,0.995,0.56821,1.42347,1.61006,1.14623,0.0012905,0.0012905,0.0012905
45,650.318,1.02196,1.47079,1.02563,0.99733,1,0.995,0.62169,1.27249,1.50803,1.12033,0.001274,0.001274,0.001274
46,666.024,1.1122,1.35919,1.04656,0.99598,1,0.995,0.62127,1.25622,1.52166,1.08744,0.0012575,0.0012575,0.0012575
47,682.933,1.08135,1.21174,0.97504,0.99598,1,0.995,0.62127,1.25622,1.52166,1.08744,0.001241,0.001241,0.001241
48,700.02,1.01257,1.22916,1.02951,0.98808,1,0.995,0.54457,1.5506,1.44224,1.20757,0.0012245,0.0012245,0.0012245
49,715.433,0.9181,1.08507,0.96685,1,0.9897,0.995,0.49434,1.81311,1.36381,1.37081,0.001208,0.001208,0.001208
50,731.933,1.00695,1.17145,0.97958,1,0.98294,0.995,0.53323,1.74617,1.48599,1.32862,0.0011915,0.0011915,0.0011915
51,746.806,0.92046,1.14625,0.95051,1,0.98294,0.995,0.53323,1.74617,1.48599,1.32862,0.001175,0.001175,0.001175
52,762.342,0.91901,1.0101,0.924,1,0.98867,0.995,0.56713,1.72217,1.48893,1.31233,0.0011585,0.0011585,0.0011585
53,777.168,0.95966,1.04068,0.9855,1,0.97279,0.995,0.47838,1.81732,1.45768,1.3369,0.001142,0.001142,0.001142
54,791.725,0.99354,1.19104,0.98325,0.98357,0.8,0.93786,0.47528,1.79673,1.4457,1.29597,0.0011255,0.0011255,0.0011255
55,806.933,0.87986,1.09631,0.98298,0.98357,0.8,0.93786,0.47528,1.79673,1.4457,1.29597,0.001109,0.001109,0.001109
56,822.846,0.90083,1.1027,0.99245,0.98369,0.8,0.96167,0.4217,1.80642,1.51018,1.27926,0.0010925,0.0010925,0.0010925
57,838.428,0.98069,1.15255,0.93211,1,0.98544,0.995,0.51707,1.74415,1.42471,1.2541,0.001076,0.001076,0.001076
58,854.104,0.81976,1.10968,0.99472,1,0.99606,0.995,0.56057,1.60359,1.39955,1.13422,0.0010595,0.0010595,0.0010595
59,869.205,0.94387,1.08923,1.00315,1,0.99606,0.995,0.56057,1.60359,1.39955,1.13422,0.001043,0.001043,0.001043
60,884.163,0.93109,1.05181,0.96638,1,0.97946,0.995,0.60465,1.61968,1.34069,1.12569,0.0010265,0.0010265,0.0010265
61,898.358,0.93466,1.03303,1.00211,0.98198,0.8,0.93786,0.54412,1.51897,1.3745,1.14973,0.00101,0.00101,0.00101
62,913.583,0.74683,0.94344,0.93019,0.97491,0.8,0.90611,0.49993,1.486,1.61044,1.19625,0.0009935,0.0009935,0.0009935
